triad,cue_M,cue_frequency_M,word1_M,word1_frequency_M,word2_M,word2_frequency_M,word1_match_M,word1_match_frequency_M,word2_match_M,word2_match_frequency_M,cue_E,cue_frequency_E,word1_E,word1_frequency_E,word2_E,word2_frequency_E,word1_match_E,word1_match_frequency_E,word2_match_E,word2_match_frequency_E,cue_V,cue_frequency_V,word1_V,word1_frequency_V,word2_V,word2_frequency_V,word1_match_V,word1_match_frequency_V,word2_match_V,word2_match_frequency_V,word1_match_cosine_E,word2_match_cosine_E,word1_match_cosine_sim_E,word2_match_cosine_sim_E,word1_match_cosine_M,word2_match_cosine_M,word1_match_cosine_sim_M,word2_match_cosine_sim_M,word1_match_cosine_V,word2_match_cosine_V,word1_match_cosine_sim_V,word2_match_cosine_sim_V
lemon,柠檬,,葡萄,,梨,,柠檬 - 葡萄,,柠檬 - 梨,,lemon,19153,grape,10062.0,pear,4968,lemon - grape,40,lemon - pear,36,chanh,,nho,,lê,,chanh - nho,5.0,chanh - lê,0.0,0.5604287981987,0.468099296092987,0.4395712018013,0.5319007039070129,0.596219927072525,0.6893130838871002,0.403780072927475,0.3106869161128998,0.5914614498615265,0.7646265029907227,0.4085385501384735,0.23537349700927734
library,图书馆,,银行,,电影院,,图书馆 - 银行,,图书馆 - 电影院,,library,71921,bank,138673.0,cinema,8617,library - bank,67,library - cinema,11,thư viện,,ngân hàng,,rạp chiếu phim,,thư viện - ngân hàng,0.0,thư viện - rạp chiếu phim,0.0,0.7192054688930511,0.6817962527275085,0.2807945311069488,0.3182037472724914,0.5856104493141174,0.476930558681488,0.4143895506858825,0.523069441318512,0.6632042229175568,0.8019143790006638,0.33679577708244324,0.19808562099933624
kite,风筝,,篮球,,秋千,,风筝 - 篮球,,风筝 - 秋千,,kite,3274,basketball,40007.0,swing,27981,kite - basketball,0,kite - swing,5,diều,,bóng rổ,,xích đu,,diều - bóng rổ,0.0,diều - xích đu,0.0,0.8369527161121368,0.6988693177700043,0.1630472838878631,0.3011306822299957,0.6576065123081207,0.5703410804271698,0.3423934876918793,0.4296589195728302,0.7346255779266357,0.7795962989330292,0.26537442207336426,0.22040370106697083
bridge,桥,,隧道,,公路,,桥 - 隧道,,桥 - 公路,,bridge,49030,tunnel,19814.0,highway,34789,bridge - tunnel,231,bridge - highway,338,cầu,,đường hầm,,đường cao tốc,,cầu - đường hầm,5.0,cầu - đường cao tốc,0.0,0.5168085098266602,0.526526927947998,0.4831914901733398,0.4734730720520019,0.6786850392818451,0.732347697019577,0.3213149607181549,0.267652302980423,0.6897468268871307,0.714859127998352,0.31025317311286926,0.28514087200164795
infant,婴儿,,男人,,女人,,婴儿 - 男人,,婴儿 - 女人,,infant,20410,man,1091176.0,woman,759817,infant - man,103,infant - woman,185,trẻ sơ sinh,,đàn ông,,phụ nữ,,trẻ sơ sinh - đàn ông,0.0,trẻ sơ sinh - phụ nữ,0.0,0.7540615051984787,0.6678450703620911,0.2459384948015213,0.3321549296379089,0.7318292558193207,0.6979260146617889,0.2681707441806793,0.302073985338211,0.6639682352542877,0.8424072414636612,0.3360317647457123,0.1575927585363388
coriander,香菜,,盐,,胡椒,,香菜 - 盐,,香菜 - 胡椒,,coriander,1009,salt,46825.0,pepper,34195,coriander - salt,217,coriander - pepper,187,rau mùi ,,muối,,tiêu,,rau mùi  - muối,0.0,rau mùi  - tiêu,3.0,0.5834845006465912,0.4245022535324096,0.4165154993534088,0.5754977464675903,0.6907895505428314,0.5572621524333954,0.3092104494571686,0.4427378475666046,0.8492185324430466,0.8692988455295563,0.15078146755695343,0.13070115447044373
grandfather,祖父,,姐妹,,叔叔,,祖父 - 姐妹,,祖父 - 叔叔,,grandfather,22432,sister,120346.0,uncle,46291,grandfather - sister,78,grandfather - uncle,254,ông,,chị,,cậu,,ông - chị,0.0,ông - cậu,3.0,0.465954840183258,0.1747887730598449,0.5340451598167419,0.825211226940155,0.8010154217481613,0.5741167068481445,0.1989845782518386,0.4258832931518554,0.5169247984886169,0.5636669397354126,0.48307520151138306,0.4363330602645874
candle,蜡烛,,火炬,,灯笼,,蜡烛 - 火炬,,蜡烛 - 灯笼,,candle,15125,torch,6336.0,lantern,4659,candle - torch,15,candle - lantern,47,nến,,đuốc,,đèn lồng,,nến - đuốc,0.0,nến - đèn lồng,0.0,0.4990919232368469,0.4067785739898681,0.5009080767631531,0.5932214260101318,0.6856292188167572,0.4701197743415832,0.3143707811832428,0.5298802256584167,0.45618027448654175,0.8038369417190552,0.5438197255134583,0.19616305828094482
fox,狐狸,,老虎,,狮子,,狐狸 - 老虎,,狐狸 - 狮子,,fox,10254,tiger,26334.0,lion,23871,fox - tiger,22,fox - lion,53,cáo,,hổ,,sư tử,,cáo - hổ,0.0,cáo - sư tử,0.0,0.5096041858196259,0.5340776145458221,0.4903958141803741,0.4659223854541778,0.4904947280883789,0.5606338679790497,0.5095052719116211,0.4393661320209503,0.7402891516685486,0.9651534557342529,0.2597108483314514,0.03484654426574707
branch,树枝,,根,,茎,,树枝 - 根,,树枝 - 茎,,branch,40300,root,45327.0,stem,18061,branch - root,121,branch - stem,45,cành cây,,rễ cây,,thân cây,,cành cây - rễ cây,0.0,cành cây - thân cây,0.0,0.6899730861186981,0.6806056797504425,0.3100269138813019,0.3193943202495575,0.6366219520568848,0.5013772249221802,0.3633780479431152,0.4986227750778198,0.5137484073638916,0.4937734603881836,0.4862515926361084,0.5062265396118164
