Cue_renamed,Cue,Tax.match,Theme.match,tax.frequency,theme.frequency
teacup,茶杯,玻璃杯,水壶,3,0
airplane1,飞机,轮船,飞行员,34,186
sailor,水手,飞行员,轮船,13,123
airplane2,飞机,直升机,天空,80,94
seagull,海鸥,蝙蝠,天空,0,6
apple1,苹果,草莓,树,39,1036
apple2,苹果,橙子,篮子,286,20
axe,斧子,剪刀,树桩,1,10
baby,宝宝,成人,奶瓶,241,457
monkey,猴,驴,丛林,18,44
bed,床,长沙发,枕头,509,571
crib,婴儿床,床,宝宝,171,490
bee1,蜜蜂,瓢虫,花园,1,35
bee2,蜜蜂,蝴蝶,蜂蜜,83,582
beer,啤酒,果汁,派对,115,341
chicken,鸡,天鹅,蛋,3,888
pigeon,鸽子,鸭,鸟巢,15,3
cake,蛋糕,曲奇,生日,99,1535
ball,球,骰子,儿童,3,181
boot,靴子,拖鞋,脚,8,306
legs,腿,手臂,裤子,5320,360
bowl,碗,盘子,汤,264,858
bread,面包,米饭,烤箱,421,481
spoon2,勺,叉子,汤,251,178
hair,头发,胡子,梳子,1090,951
bullet,子弹,箭,手枪,22,552
cactus,仙人掌,灌木,沙子,9,23
car2,汽车,自行车,轮胎,230,525
car1,汽车,摩托车,红绿灯,238,20
carrot,胡萝卜,豌豆,兔子,26,33
dog1,狗,猫,狗链,1900,591
dog2,狗,猫,骨头,1900,398
chain,链条,绳子,锁,59,137
chair,椅,凳,桌,82,1629
chalk,粉笔,马克笔,黑板,10,103
chimney,烟囱,墙,火,47,106
coat,大衣,运动衫,伞,18,69
dress,连衣裙,裤子,衣架,409,37
jacket,夹克,毛衣,冬天,268,129
coconut,椰子,芒果,树,68,109
onion1,洋葱,番茄,农民,433,11
farmer,农民,屠夫,拖拉机,9,50
goat,山羊,鹿,草地,19,28
cow2,牛,鸡,草,86,101
squirrel,松鼠,老鼠,橡实,22,20
cow1,牛,猪,牛奶,145,1141
sheep,绵羊,山羊,羊毛,224,323
grass,草,叶子,马,80,94
crayon,蜡笔,油漆刷,图画,1,66
crown,皇冠,帽子,女王,102,226
cup,杯子,茶碟,咖啡,289,8536
teacher,老师,警察,桌子,22,264
door,门,窗户,钥匙,2413,1715
house,房子,小屋,花园,63,1885
piano,钢琴,长笛,歌,69,249
trumpet,小号,小提琴,管弦乐队,50,25
frog,青蛙,乌龟,池塘,25,98
lilypad,睡莲,玫瑰花,池塘,0,0
dust,灰尘,灰烬,扫帚,142,63
elephant,大象,长颈鹿,动物园,47,93
ring,戒指,项链,手,174,992
hand,手,脚,手镯,1297,71
pencil,铅笔,钢笔,橡皮,304,179
pen,钢笔,铅笔,纸,304,1465
net,网,绳子,鱼,37,367
lake,湖,溪流,鱼,229,898
ocean2,海洋,溪流,船,89,280
flower,花朵,灌木,花瓶,33,95
can,罐,瓶,吸管,175,19
hammer,锤子,锯子,钉子,147,283
hat,帽子,皇冠,头,102,1391
helmet,头盔,便帽,摩托车,48,208
soccer,足球,网球,球门,298,147
horse,马,驴,鞍,97,444
school,学校,教堂,学生,2249,11386
snow,雪,冰,山峰,2221,662
kitchen,厨房,卧室,冰箱,780,395
knight,骑士,士兵,盔甲,16,381
lamp,灯,手电筒,桌子,16,385
gloves,手套,短裤,滑雪,29,79
mountain,山峰,悬崖,雪,94,661
mouth,嘴,鼻,牙刷,1937,55
movie,电影,卡通片,导演,126,1308
notepad,笔记本,书本,双肩包,13,3
ocean1,海洋,河流,鲸,387,115
onion2,洋葱,胡椒,炒锅,306,42
oyster,蚌,蛤蜊,珍珠,38,79
watering can,洒水壶,桶,花朵,0,5
pastry,蝴蝶酥,蛋糕,烘焙师,92,19
penguin,企鹅,鹅,雪,0,11
policeman,警察,老师,监狱,22,17
mailman,快递员,消防员,包裹,0,13
pot1,汤锅,平底锅,长柄勺,167,37
pot2,汤锅,平底锅,炉灶,167,438
saw,锯子,锤子,木板,147,15
sink,洗脸盆,浴缸,肥皂,78,102
spider,蜘蛛,蚱蜢,网,6,786
spoon1,勺,长柄勺,碗,45,712
sword,弯刀,匕首,海盗,76,34
tent,帐篷,小木屋,篝火,74,21
towel,毛巾,手帕,浴室,3,165
train,火车,公交车,轨道,863,1213
university,大学,学校,教授,17898,28433
doctor,医生,工程师,医院,117,1802
peach,桃,李子,果核,84,263
