triad,cue_M,cue_basefreq_M,tax_M,tax_basefreq_M,theme_M,theme_basefreq_M,cue_tax_M,cue_tax_freq_M,cue_theme_M,cue_theme_freq_M,cue_E,cue_basefreq_E,tax_E,tax_basefreq_E,theme_E,theme_basefreq_E,cue_tax_E,cue_tax_freq_E,cue_theme_E,cue_theme_freq_E,cue_V,cue_basefreq_V,tax_V,tax_basefreq_V,theme_V,theme_basefreq_V,cue_tax_V,cue_tax_freq_V,cue_theme_V,cue_theme_freq_V
teacup,茶杯,2224,玻璃杯,1115,水壺,1862,茶杯 - 玻璃杯,13,茶杯 - 水壺,14,teacup,985,glass,94803,kettle,2849,teacup - glass,3,teacup - kettle,0,cốc trà,,ly,,ấm đun nước,,cốc trà - ly,0,cốc trà - ấm đun nước,0
airplane1,飛機,34257,輪船,2773,飛行員,2741,飛機 - 輪船,117,飛機 - 飛行員,528,airplane,15512,ship,79715,pilot,39272,airplane - ship,34,airplane - pilot,186,máy bay,,tàu thuỷ,,phi công,,máy bay - tàu thuỷ,0,máy bay - phi công,65
sailor,水手,5392,飛行員,2741,輪船,2773,水手 - 飛行員,0,水手 - 輪船,19,sailor,10469,pilot,39272,ship,79715,sailor - pilot,13,sailor - ship,123,thuỷ thủ,,phi công,,tàu thuỷ,,thuỷ thủ - phi công,0,thuỷ thủ - tàu thuỷ,0
airplane2,飛機,34257,直升機,10032,天空,22263,飛機 - 直升機,461,飛機 - 天空,395,airplane,15512,helicopter,18430,sky,69285,airplane - helicopter,80,airplane - sky,94,máy bay,,trực thăng,,trời,,máy bay - trực thăng,87,máy bay - trời,22
seagull,海鷗,1826,蝙蝠,3001,天空,22263,海鷗 - 蝙蝠,0,海鷗 - 天空,30,seagull,943,bat,18132,sky,69285,seagull - bat,0,seagull - sky,6,hải âu,,dơi,,trời,,hải âu - dơi,0,hải âu - trời,0
apple1,蘋果,13303,草莓,6840,樹,34621,蘋果 - 草莓,172,蘋果 - 樹,385,apple,72273,strawberry,8177,tree,135666,apple - strawberry,39,apple - tree,1036,táo,,dâu,,cây,,táo - dâu,8,táo - cây,23
apple2,蘋果,13303,橙子,868,籃子,2928,蘋果 - 橙子,91,蘋果 - 籃子,29,apple,72273,orange,23088,basket,17488,apple - orange,286,apple - basket,20,táo,,cam,,giỏ,,táo - cam,23,táo - giỏ,0
axe,斧子,515,剪刀,3211,樹樁,398,斧子 - 剪刀,0,斧子 - 樹樁,0,axe,3373,scissors,4277,stump,4818,axe - scissors,1,axe - stump,10,rìu,,kéo,,gốc cây,,rìu - kéo,0,rìu - gốc cây,0
baby,寶寶,13247,成人,10776,奶瓶,1068,寶寶 - 成人,22,寶寶 - 奶瓶,64,baby,207577,adult,94547,bottle,46801,baby - adult,241,baby - bottle,457,em bé,,người lớn,,bình,,em bé - người lớn,5,em bé - bình,0
monkey,猴,11113,驢,5137,叢林,5366,猴 - 驢,45,猴 - 叢林,70,monkey,17334,donkey,3786,jungle,12210,monkey - donkey,18,monkey - jungle,44,khỉ,,lừa,,rừng,,khỉ - lừa,0,khỉ - rừng,4
