Cue_renamed,Cue,Tax.match,Theme.match,tax.frequency,theme.frequency,Tax.cosine_dist,Theme.cosine_dist,Tax.cosine_sim,Theme.cosine_sim
teacup,teacup,glass,kettle,3,0,0.631305456161499,0.6076681315898895,0.368694543838501,0.3923318684101105
airplane1,airplane,ship,pilot,34,186,0.6415265798568726,0.46995753049850464,0.35847342014312744,0.5300424695014954
sailor,sailor,pilot,ship,13,123,0.6742464005947113,0.5251618921756744,0.3257535994052887,0.47483810782432556
airplane2,airplane,helicopter,sky,80,94,0.38608551025390625,0.6775680780410767,0.6139144897460938,0.32243192195892334
seagull,seagull,bat,sky,0,6,0.7274981737136841,0.6696042120456696,0.2725018262863159,0.33039578795433044
apple1,apple,strawberry,tree,39,1036,0.4809843897819519,0.5708165466785431,0.5190156102180481,0.4291834533214569
apple2,apple,orange,basket,286,20,0.496234655380249,0.7663349509239197,0.503765344619751,0.23366504907608032
axe,axe,scissors,stump,1,10,0.575154572725296,0.6732887029647827,0.424845427274704,0.3267112970352173
baby,baby,adult,bottle,241,457,0.7115484476089478,0.6756678819656372,0.28845155239105225,0.3243321180343628
monkey,monkey,donkey,jungle,18,44,0.4988086223602295,0.5888341665267944,0.5011913776397705,0.41116583347320557
bed,bed,couch,pillow,509,571,0.3831897974014282,0.4037575125694275,0.6168102025985718,0.5962424874305725
crib,crib,bed,baby,171,490,0.4148786664009094,0.42733150720596313,0.5851213335990906,0.5726684927940369
bee1,bee,ladybug,garden,1,35,0.518596738576889,0.7282968759536743,0.48140326142311096,0.2717031240463257
bee2,bee,butterfly,honey,83,582,0.5393807291984558,0.4056167006492615,0.4606192708015442,0.5943832993507385
beer,beer,juice,party,115,341,0.7008823156356812,0.7689197659492493,0.29911768436431885,0.23108023405075073
chicken,chicken,swan,egg,3,888,0.6306574940681458,0.45185327529907227,0.36934250593185425,0.5481467247009277
pigeon,pigeon,duck,nest,15,3,0.4980974793434143,0.6265607178211212,0.5019025206565857,0.3734392821788788
cake,cake,cookie,birthday,99,1535,0.5275387763977051,0.4989170432090759,0.4724612236022949,0.5010829567909241
ball,ball,dice,child,3,181,0.6495236158370972,0.8422555327415466,0.35047638416290283,0.15774446725845337
boot,boot,slipper,foot,8,306,0.676117330789566,0.6548929810523987,0.32388266921043396,0.3451070189476013
legs,legs,arms,pants,5320,360,0.3856954574584961,0.5668322741985321,0.6143045425415039,0.4331677258014679
bowl,bowl,plate,soup,264,858,0.6039573550224304,0.5286905467510223,0.3960426449775696,0.47130945324897766
bread,bread,rice,oven,421,481,0.5524424016475677,0.5842760801315308,0.44755759835243225,0.41572391986846924
spoon2,spoon,fork,sugar,251,178,0.4390738010406494,0.6262073218822479,0.5609261989593506,0.3737926781177521
hair,hair,beard,comb,1090,951,0.36455100774765015,0.47402387857437134,0.6354489922523499,0.5259761214256287
bullet,bullet,arrow,gun,22,552,0.5522437989711761,0.5661613047122955,0.44775620102882385,0.43383869528770447
cactus,cactus,bush,sand,9,23,0.5543605387210846,0.6966289579868317,0.4456394612789154,0.30337104201316833
car2,car,bicycle,tire,230,525,0.5006111264228821,0.5492304265499115,0.4993888735771179,0.4507695734500885
car1,car,motorcycle,traffic lights,238,20,0.40066075325012207,0.8693342804908752,0.5993392467498779,0.13066571950912476
carrot,carrot,peas,rabbit,26,33,0.5710304081439972,0.5612707734107971,0.4289695918560028,0.4387292265892029
dog1,dog,cat,leash,1900,591,0.29213887453079224,0.3880974054336548,0.7078611254692078,0.6119025945663452
dog2,dog,cat,bone,1900,398,0.29213887453079224,0.6617926955223083,0.7078611254692078,0.33820730447769165
chain,chain,rope,lock,59,137,0.5814861357212067,0.7586033344268799,0.41851386427879333,0.24139666557312012
chair,chair,stool,desk,82,1629,0.4596158266067505,0.5038421750068665,0.5403841733932495,0.49615782499313354
chalk,chalk,marker,blackboard,10,103,0.6113653481006622,0.4609430432319641,0.38863465189933777,0.5390569567680359
chimney,chimney,wall,fire,47,106,0.6429976224899292,0.5901034474372864,0.3570023775100708,0.4098965525627136
coat,coat,sweatshirt,umbrella,18,69,0.574341744184494,0.724004328250885,0.425658255815506,0.275995671749115
dress,dress,pants,hanger,409,37,0.5058633089065552,0.6846882104873657,0.4941366910934448,0.3153117895126343
jacket,jacket,sweater,winter,268,129,0.37407124042510986,0.6903030872344971,0.6259287595748901,0.30969691276550293
coconut,coconut,mango,tree,68,109,0.30849581956863403,0.6344676613807678,0.691504180431366,0.3655323386192322
onion1,onion,tomato,farmer,433,11,0.3903149962425232,0.7816849499940872,0.6096850037574768,0.21831505000591278
farmer,farmer,butcher,tractor,9,50,0.5069524049758911,0.5022629499435425,0.4930475950241089,0.4977370500564575
goat,goat,deer,field,19,28,0.5654765963554382,0.8707285374403,0.43452340364456177,0.1292714625597
cow2,cow,chicken,grass,86,101,0.5704304575920105,0.6898257732391357,0.4295695424079895,0.31017422676086426
squirrel,squirrel,mouse,acorn,22,20,0.5764040946960449,0.41869276762008667,0.4235959053039551,0.5813072323799133
cow1,cow,pig,milk,145,1141,0.3924410939216614,0.42547595500946045,0.6075589060783386,0.5745240449905396
sheep,sheep,goat,wool,224,323,0.3027508854866028,0.42480313777923584,0.6972491145133972,0.5751968622207642
