triad,cue_E,cue_frequency_E,word1_E,word1_frequency_E,word2_E,word2_frequency_E,word1_match_E,word1_match_frequency_E,word2_match_E,word2_match_frequency_E,word1_match_cosine_E,word2_match_cosine_E,word1_match_cosine_sim_E,word2_match_cosine_sim_E,cue_M,cue_frequency_M,word1_M,word1_frequency_M,word2_M,word2_frequency_M,word1_match_M,word1_match_frequency_M,word2_match_M,word2_match_frequency_M,word1_match_cosine_M,word2_match_cosine_M,word1_match_cosine_sim_M,word2_match_cosine_sim_M,cue_V,cue_frequency_V,word1_V,word1_frequency_V,word2_V,word2_frequency_V,word1_match_V,word1_match_frequency_V,word2_match_V,word2_match_frequency_V,word1_match_cosine_V,word2_match_cosine_V,word1_match_cosine_sim_V,word2_match_cosine_sim_V
lemon,lemon,19153,grape,10062,pear,4968,lemon - grape,40,lemon - pear,36,0.560428798,0.468099296,0.439571202,0.531900704,柠檬,,葡萄,,梨,,柠檬 - 葡萄,,柠檬 - 梨,,0.596219927,0.689313084,0.403780073,0.310686916,chanh,,nho,,lê,,chanh - nho,5,chanh - lê,0,0.59146145,0.764626503,0.40853855,0.235373497
library,library,71921,bank,138673,cinema,8617,library - bank,67,library - cinema,11,0.719205469,0.681796253,0.280794531,0.318203747,图书馆,,银行,,电影院,,图书馆 - 银行,,图书馆 - 电影院,,0.585610449,0.476930559,0.414389551,0.523069441,thư viện,,ngân hàng,,rạp chiếu phim,,thư viện - ngân hàng,0,thư viện - rạp chiếu phim,0,0.663204223,0.801914379,0.336795777,0.198085621
kite,kite,3274,basketball,40007,swing,27981,kite - basketball,0,kite - swing,5,0.836952716,0.698869318,0.163047284,0.301130682,风筝,,篮球,,秋千,,风筝 - 篮球,,风筝 - 秋千,,0.657606512,0.57034108,0.342393488,0.42965892,diều,,bóng rổ,,xích đu,,diều - bóng rổ,0,diều - xích đu,0,0.734625578,0.779596299,0.265374422,0.220403701
bridge,bridge,49030,tunnel,19814,highway,34789,bridge - tunnel,231,bridge - highway,338,0.51680851,0.526526928,0.48319149,0.473473072,桥,,隧道,,公路,,桥 - 隧道,,桥 - 公路,,0.678685039,0.732347697,0.321314961,0.267652303,cầu,,đường hầm,,đường cao tốc,,cầu - đường hầm,5,cầu - đường cao tốc,0,0.689746827,0.714859128,0.310253173,0.285140872
infant,infant,20410,man,1091176,woman,759817,infant - man,103,infant - woman,185,0.754061505,0.66784507,0.245938495,0.33215493,婴儿,,男人,,女人,,婴儿 - 男人,,婴儿 - 女人,,0.731829256,0.697926015,0.268170744,0.302073985,trẻ sơ sinh,,đàn ông,,phụ nữ,,trẻ sơ sinh - đàn ông,0,trẻ sơ sinh - phụ nữ,0,0.663968235,0.842407241,0.336031765,0.157592759
coriander,coriander,1009,salt,46825,pepper,34195,coriander - salt,217,coriander - pepper,187,0.583484501,0.424502254,0.416515499,0.575497746,香菜,,盐,,胡椒,,香菜 - 盐,,香菜 - 胡椒,,0.690789551,0.557262152,0.309210449,0.442737848,rau mùi ,,muối,,tiêu,,rau mùi  - muối,0,rau mùi  - tiêu,3,0.849218532,0.869298846,0.150781468,0.130701154
grandfather,grandfather,22432,sister,120346,uncle,46291,grandfather - sister,78,grandfather - uncle,254,0.46595484,0.174788773,0.53404516,0.825211227,祖父,,姐妹,,叔叔,,祖父 - 姐妹,,祖父 - 叔叔,,0.801015422,0.574116707,0.198984578,0.425883293,ông,,chị,,cậu,,ông - chị,0,ông - cậu,3,0.516924798,0.56366694,0.483075202,0.43633306
candle,candle,15125,torch,6336,lantern,4659,candle - torch,15,candle - lantern,47,0.499091923,0.406778574,0.500908077,0.593221426,蜡烛,,火炬,,灯笼,,蜡烛 - 火炬,,蜡烛 - 灯笼,,0.685629219,0.470119774,0.314370781,0.529880226,nến,,đuốc,,đèn lồng,,nến - đuốc,0,nến - đèn lồng,0,0.456180274,0.803836942,0.543819726,0.196163058
fox,fox,10254,tiger,26334,lion,23871,fox - tiger,22,fox - lion,53,0.509604186,0.534077615,0.490395814,0.465922385,狐狸,,老虎,,狮子,,狐狸 - 老虎,,狐狸 - 狮子,,0.490494728,0.560633868,0.509505272,0.439366132,cáo,,hổ,,sư tử,,cáo - hổ,0,cáo - sư tử,0,0.740289152,0.965153456,0.259710848,0.034846544
branch,branch,40300,root,45327,stem,18061,branch - root,121,branch - stem,45,0.689973086,0.68060568,0.310026914,0.31939432,树枝,,根,,茎,,树枝 - 根,,树枝 - 茎,,0.636621952,0.501377225,0.363378048,0.498622775,cành cây,,rễ cây,,thân cây,,cành cây - rễ cây,0,cành cây - thân cây,0,0.513748407,0.49377346,0.486251593,0.50622654
parrot,parrot,3307,hawk,9428,songbird,930,parrot - hawk,2,parrot - songbird,0,0.539912045,0.54155001,0.460087955,0.45844999,鹦鹉,,鹰,,夜莺,,鹦鹉 - 鹰,,鹦鹉 - 夜莺,,0.591582924,0.584945798,0.408417076,0.415054202,vẹt,,diều hâu,,sơn ca,,vẹt - diều hâu,0,vẹt - sơn ca,0,0.75962019,0.950738344,0.24037981,0.049261656
sprout,sprout,4062,seedling,2683,plant,118323,sprout - seedling,2,sprout - plant,37,0.456766844,0.608506709,0.543233156,0.391493291,新芽,,小树苗,,植物,,新芽 - 小树苗,,新芽 - 植物,,0.943577271,0.676390737,0.056422729,0.323609263,chồi cây,,cây con,,cây,,chồi cây - cây con,0,chồi cây - cây,0,0.832516342,0.627066076,0.167483658,0.372933924
nose,nose,45433,thumb,16776,finger,81817,nose - thumb,203,nose - finger,354,0.594368577,0.525689274,0.405631423,0.474310726,鼻,,大拇指,,手指,,鼻 - 大拇指,,鼻 - 手指,,0.756565273,0.687361658,0.243434727,0.312638342,mũi,,ngón cái,,ngón tay,,mũi - ngón cái,0,mũi - ngón tay,12,0.69827053,0.670666665,0.30172947,0.329333335
cucumber,cucumber,4252,corn,26609,potato,29496,cucumber - corn,27,cucumber - potato,24,0.665688694,0.480280399,0.334311306,0.519719601,黄瓜,,玉米,,土豆,,黄瓜 - 玉米,,黄瓜 - 土豆,,0.604668796,0.551684231,0.395331204,0.448315769,dưa leo,,ngô,,khoai tây,,dưa leo - ngô,0,dưa leo - khoai tây,4,0.909719922,0.765921414,0.090280078,0.234078586
scarf,scarf,7566,socks,14170,beanie,434,scarf - socks,25,scarf - beanie,5,0.535788029,0.341218114,0.464211971,0.658781886,围巾,,袜子,,毛线帽,,围巾 - 袜子,,围巾 - 毛线帽,,0.487955034,0.448648095,0.512044966,0.551351905,khăn quàng cổ,,tất,,mũ len,,khăn quàng cổ - tất,0,khăn quàng cổ - mũ len,0,0.636903018,1.068367049,0.363096982,-0.068367049
shovel,shovel,5572,rake,3704,hoe,1279,shovel - rake,61,shovel - hoe,27,0.455466509,0.469267786,0.544533491,0.530732214,铲子,,耙子,,锄头,,铲子 - 耙子,,铲子 - 锄头,,0.520422637,0.3694731,0.479577363,0.6305269,cái xẻng,,cái cào,,cái cuốc,,cái xẻng - cái cào,0,cái xẻng - cái cuốc,0,0.547727257,0.325318038,0.452272743,0.674681962
vinegar,vinegar,9110,oil,150410,butter,29372,vinegar - oil,1826,vinegar - butter,132,0.612844437,0.643202513,0.387155563,0.356797487,醋,,油,,黄油,,醋 - 油,,醋 - 黄油,,0.617748678,0.709534079,0.382251322,0.290465921,giấm,,dầu,,bơ,,giấm - dầu,7,giấm - bơ,0,0.587964296,0.771361813,0.412035704,0.228638187
comics,comics,13245,magazine,75615,newspaper,66598,comics - magazine,51,comics - newspaper,85,0.68022725,0.667072386,0.31977275,0.332927614,漫画,,杂志,,报纸,,漫画 - 杂志,,漫画 - 报纸,,0.615190834,0.712211847,0.384809166,0.287788153,truyện tranh,,tạp chí,,báo,,truyện tranh - tạp chí,0,truyện tranh - báo,0,0.83068864,0.760111004,0.16931136,0.239888996
button,button,36451,sleeve,12091,collar,11916,button - sleeve,26,button - collar,65,0.732592762,0.687293023,0.267407238,0.312706977,纽扣,,袖子,,衣领,,纽扣 - 袖子,,纽扣 - 衣领,,0.650867969,0.479914784,0.349132031,0.520085216,nút áo,,tay áo,,cổ áo,,nút áo - tay áo,0,nút áo - cổ áo,0,0.792140648,0.502355158,0.207859352,0.497644842
