"triad","cue","tax_match_E","theme_match_E","tax_match_assoc_strength_E","theme_match_assoc_strength_E"
"teacup","teacup","glass","kettle",NA,NA
"airplane1","airplane","ship","pilot",0.00340136054421769,0.0136054421768707
"sailor","sailor","pilot","ship",NA,0.1088435
"airplane2","airplane","helicopter","sky",NA,0.0510204081632653
"seagull","seagull","bat","sky",NA,0.003367003
"apple1","apple","strawberry","tree",NA,0.0709459459459459
"apple2","apple","orange","basket",0.0844594594594595,NA
"axe","axe","scissors","stump",NA,0.00673400673400673
"baby","baby","adult","bottle",NA,0.0171232876712329
"monkey","monkey","donkey","jungle",0.00684931506849315,0.023972602739726
"bed","bed","couch","pillow",0.00335570469798658,0.0503355704697987
"crib","crib","bed","baby",0.0655172413793104,0.279310344827586
"bee1","bee","ladybug","garden",NA,NA
"bee2","bee","butterfly","honey",NA,0.182758620689655
"beer","beer","juice","party",NA,0.0136054421768707
"chicken","chicken","swan","egg",NA,0.0586206896551724
"pigeon","pigeon","duck","nest",NA,NA
"cake","cake","cookie","birthday",0.0101694915254237,0.0779661016949153
"ball","ball","dice","child",NA,NA
"boot","boot","slipper","foot",NA,0.0763888888888889
"legs","legs","arms","pants",0.0862068965517241,0.0103448275862069
"bowl","bowl","plate","soup",0.0136518771331058,0.0955631399317406
"bread","bread","rice","oven",NA,0.00335570469798658
"spoon2","spoon","fork","sugar",0.2191781,0.006849315
"hair","hair","beard","comb",0.0100671140939597,0.023489932885906
"bullet","bullet","arrow","gun",0.00346020761245675,0.231833910034602
"cactus","cactus","bush","sand",0.00338983050847458,0.0135593220338983
"car2","car","bicycle","tire",NA,NA
"car1","car","motorcycle","traffic lights",NA,NA
"carrot","carrot","peas","rabbit",0.0069204152249135,0.0865051903114187
"dog1","dog","cat","leash",0.175862068965517,NA
"dog2","dog","cat","bone",0.175862068965517,0.0275862068965517
"chain","chain","rope","lock",0.0138888888888889,0.03125
"chair","chair","stool","desk",0.0245614035087719,0.0105263157894737
"chalk","chalk","marker","blackboard",NA,0.054421768707483
"chimney","chimney","wall","fire",NA,0.10958904109589
"coat","coat","sweatshirt","umbrella",NA,NA
"dress","dress","pants","hanger",0.0206896551724138,NA
"jacket","jacket","sweater","winter",0.0173010380622837,0.0311418685121107
"coconut","coconut","mango","tree",NA,0.0802675585284281
"onion1","onion","tomato","farmer",0.00671140939597315,NA
"farmer","farmer","butcher","tractor",NA,0.0542372881355932
"goat","goat","deer","field",NA,0.00346020761245675
"cow2","cow","chicken","grass",0.0101351351351351,0.0472972972972973
"squirrel","squirrel","mouse","acorn",NA,0.02040816
"cow1","cow","pig","milk",0.0236486486486486,0.168918918918919
"sheep","sheep","goat","wool",0.01023891,0.2013652
"grass","grass","leaf","horse",NA,NA
"crayon","crayon","paintbrush","drawing",NA,0.023972602739726
"crown","crown","hat","queen",0.0135135135135135,0.0912162162162162
"cup","cup","saucer","coffee",0.0576271186440678,0.0949152542372881
"teacher","teacher","policeman","desk",NA,0.003401361
"door","door","window","key",0.0878378378378378,0.00337837837837838
"house","house","hut","garden",NA,0.00677966101694915
"piano","piano","flute","song",NA,NA
"trumpet","trumpet","violin","orchestra",NA,0.01683502
"frog","frog","turtle","pond",NA,0.037037037037037
"lilypad","lilypad","rose","pond",NA,NA
"dust","dust","ash","broom",0.00341296928327645,0.00341296928327645
"elephant","elephant","giraffe","zoo",0.00336700336700337,0.0101010101010101
"ring","ring","necklace","hand",NA,NA
"hand","hand","foot","bracelet",0.0542372881355932,NA
"pencil","pencil","pen","eraser",0.148148148148148,0.0538720538720539
"pen","pen","pencil","paper",0.185185185185185,0.107744107744108
"net","net","rope","fish",0.00341296928327645,0.150170648464164
"lake","lake","stream","fish",0.0102739726027397,0.0547945205479452
"ocean2","ocean","stream","boat",NA,0.00337837837837838
"flower","flower","bush","vase",0.00335570469798658,0.0134228187919463
"can","can","bottle","straw",0.00336700336700337,NA
"hammer","hammer","saw","nail",0.00680272108843537,0.22108843537415
"hat","hat","crown","head",0.00352112676056338,0.158450704225352
"helmet","helmet","cap","motorcycle",0.0202702702702703,0.0540540540540541
"soccer","soccer","tennis","goal",NA,0.02693603
"horse","horse","donkey","saddle",0.0135593220338983,0.0271186440677966
"school","school","church","student",NA,0.0137457
"snow","snow","ice","mountain",0.05369128,NA
"kitchen","kitchen","bedroom","refrigerator",NA,0.0136054421768707
"knight","knight","soldier","armor",0.00341296928327645,0.156996587030717
"lamp","lamp","flashlight","desk",0.0034965034965035,0.020979020979021
"gloves","gloves","shorts","ski",NA,NA
"mountain","mountain","cliff","snow",NA,0.0610169491525424
"mouth","mouth","nose","toothbrush",0.023728813559322,0.00338983050847458
"movie","movie","cartoon","director",NA,NA
"notepad","notepad","book","backpack",0.0235690235690236,NA
"ocean1","ocean","river","whale",NA,0.00337837837837838
"onion2","onion","peppers","frying pan",NA,NA
"oyster","oyster","clam","pearl",0.0664335664335664,0.108391608391608
"watering can","watering can","bucket","flowers",NA,NA
"pastry","pastry","cake","baker",0.0736842105263158,0.00701754385964912
"penguin","penguin","goose","snow",NA,0.0135135135135135
"policeman","policeman","teacher","jail",NA,0.003389831
"mailman","mailman","firefighter","package",NA,0.0136518771331058
"pot1","pot","pan","ladle",0.04794521,NA
"pot2","pot","pan","stove",0.04794521,0.01027397
"saw","saw","hammer","plank",0.03180212,0.003533569
"sink","sink","bathtub","soap",0.007042254,0.02112676
"spider","spider","grasshopper","web",NA,0.1522491
"spoon1","spoon","ladle","bowl",0.0239726,0.02054795
"sword","sword","dagger","pirate",0.02739726,NA
"tent","tent","cabin","campfire",NA,NA
"towel","towel","handkerchief","shower",NA,0.07508532
"train","train","bus","tracks",0.01388889,0.03472222
"university","university","school","professor",0.1068966,0.01724138
"doctor","doctor","engineer","hospital",NA,0.037542662116041
"peach","peach","plum","pit",0.0372881355932203,0.0305084745762712
