Unnamed: 0,Cue_renamed,Cue,Tax.match,Theme.match,tax.frequency,theme.frequency,Tax.cosine_dist,Theme.cosine_dist,Tax.cosine_sim,Theme.cosine_sim
1,teacup,cốc trà,ly,ấm đun nước,0,0,0.9323071539402008,0.8830591589212418,0.0676928460597992,0.11694084107875824
2,airplane1,máy bay,tàu thuỷ,phi công,0,65,0.6785963773727417,0.7750736773014069,0.3214036226272583,0.22492632269859314
3,sailor,thuỷ thủ,phi công ,tàu thuỷ,0,0,0.8555259704589844,1.231026440858841,0.14447402954101562,-0.23102644085884094
4,airplane2,máy bay,trực thăng ,trời,87,22,0.5961672961711884,0.7771600037813187,0.40383270382881165,0.22283999621868134
5,seagull,hải âu,dơi,trời,0,0,0.9177879691123962,0.9685175083577633,0.08221203088760376,0.03148249164223671
6,apple1,táo,dâu,cây,8,23,0.6389491558074951,0.5979223251342773,0.3610508441925049,0.40207767486572266
7,apple2,táo,cam,giỏ,23,0,0.5268808305263519,0.7348764836788177,0.47311916947364807,0.26512351632118225
8,axe,rìu,kéo,gốc cây,0,0,0.7445244491100311,0.9002987593412399,0.25547555088996887,0.09970124065876007
9,baby,em bé,người lớn,bình,5,0,1.042789552360773,1.020526748150587,-0.04278955236077309,-0.020526748150587082
10,monkey,khỉ,lừa,rừng,0,4,0.6810395419597626,0.6030956506729126,0.3189604580402374,0.3969043493270874
11,bed,giường,ghế bành,gối,0,50,0.6631984710693359,0.39555323123931885,0.33680152893066406,0.6044467687606812
12,crib,nôi,giường,em bé,7,3,0.602608323097229,1.0481350719928741,0.397391676902771,-0.048135071992874146
13,bee1,ong,bọ rùa,vườn,0,0,1.0123104061931372,0.6687376499176025,-0.012310406193137169,0.33126235008239746
14,bee2,ong,bướm,mật,4,60,0.6345454752445221,0.5107164084911346,0.3654545247554779,0.48928359150886536
15,beer,bia,nước ép,tiệc,0,4,0.7636898756027222,0.6643620729446411,0.23631012439727783,0.3356379270553589
16,chicken,gà,thiên nga,trứng,0,100,1.0683487877249718,0.5110074877738953,-0.06834878772497177,0.48899251222610474
17,pigeon,bồ câu,vịt,tổ,0,0,0.8868288397789001,0.9931794246658683,0.11317116022109985,0.006820575334131718
18,cake,bánh kem,bánh quy,sinh nhật,0,4,0.1315649151802063,0.6487504839897156,0.8684350848197937,0.3512495160102844
19,ball,bóng,xúc xắc,đứa trẻ,0,0,0.8258583694696426,0.833359494805336,0.17414163053035736,0.166640505194664
20,boot,ủng,dép,bàn chân,0,0,0.5634150207042694,0.8446713387966156,0.4365849792957306,0.1553286612033844
21,legs,chân,tay,quần,688,65,0.40538597106933594,0.5882103741168976,0.5946140289306641,0.4117896258831024
22,bowl,chén,đĩa,súp,20,0,0.5032786726951599,0.5405640602111816,0.4967213273048401,0.45943593978881836
23,bread,bánh mì,cơm,lò nướng,10,0,0.734047532081604,0.39471685886383057,0.265952467918396,0.6052831411361694
24,spoon2,muỗng,nĩa,đường,9,29,0.48507726192474365,0.6902501285076141,0.5149227380752563,0.30974987149238586
25,hair,tóc,râu,lược,31,24,0.5353720188140869,0.6208643615245819,0.4646279811859131,0.3791356384754181
26,bullet,đạn,mũi tên,súng,0,101,0.8030291795730591,0.3448209762573242,0.19697082042694092,0.6551790237426758
27,cactus,xương rồng,bụi rậm,cát,0,0,0.9311864748597145,0.6186899840831757,0.06881352514028549,0.38131001591682434
28,car2,xe hơi,xe đạp,lốp,9,0,0.7684519737958908,0.9488420821726322,0.2315480262041092,0.05115791782736778
29,car1,xe hơi,xe máy,đèn giao thông,13,0,0.8031116873025894,0.775041252374649,0.19688831269741058,0.22495874762535095
30,carrot,cà rốt,đậu,thỏ,8,0,1.0022139274515212,0.9765962138772011,-0.0022139274515211582,0.02340378612279892
31,dog1,chó,mèo,dây xích,70,0,0.30678820610046387,0.7132924199104309,0.6932117938995361,0.2867075800895691
32,dog2,chó,mèo,xương,70,5,0.30678820610046387,0.6945030689239502,0.6932117938995361,0.3054969310760498
33,chain,xích,dây thừng,khoá,0,0,0.6943105459213257,0.7508988231420517,0.3056894540786743,0.2491011768579483
34,chair,ghế,ghế đẩu,bàn,0,133,0.8893012851476669,0.3959963321685791,0.11069871485233307,0.6040036678314209
35,chalk,phấn,bút lông,bảng đen,0,5,0.7275571525096893,0.8031337857246399,0.27244284749031067,0.1968662142753601
36,chimney,ống khói,tường,lửa,0,0,0.6927405893802643,0.664872020483017,0.3072594106197357,0.33512797951698303
37,coat,áo khoác,áo len,dù,18,0,0.9894040375947952,1.0088596614077687,0.010595962405204773,-0.008859661407768726
38,dress,đầm,quần,móc quần áo,8,0,0.5808812081813812,0.8789061680436134,0.4191187918186188,0.12109383195638657
39,jacket,áo khoác,áo len,mùa đông,18,17,0.9894040375947952,0.7319894433021545,0.010595962405204773,0.26801055669784546
40,coconut,dừa,xoài,cây,13,64,0.5225717127323151,0.5720571577548981,0.47742828726768494,0.42794284224510193
41,onion1,hành,cà chua,nông dân,29,0,0.8264881074428558,0.717905730009079,0.17351189255714417,0.282094269990921
42,farmer,nông dân,người bán thịt,máy kéo,0,0,0.4494175910949707,0.5317243039608002,0.5505824089050293,0.46827569603919983
43,goat,dê,nai,đồng cỏ,0,0,0.5954019725322723,1.0233591739088297,0.40459802746772766,-0.02335917390882969
44,cow2,bò,gà,cỏ,80,44,0.4835813045501709,0.5182907581329346,0.5164186954498291,0.48170924186706543
