cue,top_opt,bottom_opt,Cue_renamed,,
teacup,glass,kettle,teacup,,
airplane,ship,pilot,airplane1,,
sailor,pilot,ship,sailor,,
airplane,helicopter,sky,airplane2,,
seagull,bat,sky,seagull,,
apple,strawberry,tree,apple1,,
apple,orange,basket,apple2,,
axe,scissors,stump,axe,,
baby,adult,bottle,baby,,
monkey,donkey,jungle,monkey,,
bed,couch,pillow,bed,, 
crib,bed,baby,crib,,
bee,ladybug,garden,bee1,,
bee,butterfly,honey,bee2,,
beer,juice,party,beer,,
chicken,swan,egg,chicken,,
pigeon,duck,nest,pigeon,,
cake,cookie,birthday,cake,,
ball,dice,child,ball,,
boot,slipper,foot,boot,,
legs,arms,pants,legs,,
bowl,plate,soup,bowl,,
bread,rice,oven,bread,,
spoon,fork,sugar,spoon2,,
hair,beard,comb,hair,,
bullet,arrow,gun,bullet,,
cactus,bush,sand,cactus,,
car,bicycle,tire,car2,,
car,motorcycle,traffic lights,car1,,
carrot,peas,rabbit,carrot,,
dog,cat,leash,dog1,,
dog,cat,bone,dog2,,
chain,rope,lock,chain,,
chair,stool,desk,chair,,
chalk,marker,blackboard,chalk,,
chimney,wall,fire,chimney,,
coat,sweatshirt,umbrella,coat,,
dress,pants,hanger,dress,,
jacket,sweater,winter,jacket,,
coconut,mango,tree,coconut,,
onion,tomato,farmer,onion1,,
farmer,butcher,tractor,farmer,,
goat,deer,field,goat,,
cow,chicken,grass,cow2,,
squirrel,mouse,acorn,squirrel,,
cow,pig,milk,cow1,,
sheep,goat,wool,sheep,,
grass,leaf,horse,grass,,
crayon,paintbrush,drawing,crayon,,
crown,hat,queen,crown,,
cup,saucer,coffee,cup,,
teacher,policeman,desk,teacher,,
door,window,key,door,,
house,hut,garden,house,,
piano,flute,song,piano,,
trumpet,violin,orchestra,trumpet,,
frog,turtle,pond,frog,,
lilypad,rose,pond,lilypad,,
dust,ash,broom,dust,,
elephant,giraffe,zoo,elephant,,
ring,necklace,hand,ring,,
hand,foot,bracelet,hand,,
pencil,pen,eraser,pencil,,
pen,pencil,paper,pen,,
net,rope,fish,net,,
lake,stream,fish,lake,,
ocean,stream,boat,ocean2,,
flower,bush,vase,flower,,
can,bottle,straw,can,,
hammer,saw,nail,hammer,,
hat,crown,head,hat,,
helmet,cap,motorcycle,helmet,,
soccer,tennis,goal,soccer,,
horse,donkey,saddle,horse,,
school,church,student,school,,
snow,ice,mountain,snow,,
kitchen,bedroom,refrigerator,kitchen,,
knight,soldier,armor,knight,,
lamp,flashlight,desk,lamp,,
gloves,shorts,ski,gloves,,
mountain,cliff,ice,mountain,,
mouth,nose,toothbrush,mouth,,
movie,cartoon,director,movie,,
notepad,book,backpack,notepad,,
ocean,river,whale,ocean1,,
onion,peppers,frying pan,onion2,,
oyster,clam,pearl,oyster,,
watering can,bucket,flowers,watering can,,
pastry,cake,baker,pastry,,
penguin,goose,snow,penguin,,
policeman,teacher,jail,policeman,,
mailman,firefighter,package,mailman,,
pot,pan,ladle,pot1,,
pot,pan,stove,pot2,,
saw,hammer,plank,saw,,
sink,bathtub,soap,sink,,
spider,grasshopper,web,spider,,
spoon,ladle,bowl,spoon1,,
sword,dagger,pirate,sword,,
tent,cabin,campfire,tent,,
towel,handkerchief,shower,towel,,
train,bus,tracks,train,,
university,school,professor,university,,
doctor,engineer,hospital,doctor,,
peach,plum,pit,peach,,
teacup,kettle,glass,teacup,,
airplane,pilot,ship,airplane1,,
sailor,ship,pilot,sailor,,
airplane,sky,helicopter,airplane2,,
seagull,sky,bat,seagull,,
apple,tree,strawberry,apple1,,
apple,basket,orange,apple2,,
axe,stump,scissors,axe,,
baby,bottle,adult,baby,,
monkey,jungle,donkey,monkey,,
bed,pillow,couch,bed,,
crib,baby,bed,crib,,
bee,garden,ladybug,bee1,,
bee,honey,butterfly,bee2,,
beer,party,juice,beer,,
chicken,egg,swan,chicken,,
pigeon,nest,duck,pigeon,,
cake,birthday,cookie,cake,,
ball,child,dice,ball,,
boot,foot,slipper,boot,,
legs,pants,arms,legs,,
bowl,soup,plate,bowl,,
bread,oven,rice,bread,,
spoon,sugar,fork,spoon2,,
hair,comb,beard,hair,,
bullet,gun,arrow,bullet,,
cactus,sand,bush,cactus,,
car,tire,bicycle,car2,,
car,traffic lights,motorcycle,car1,,
carrot,rabbit,peas,carrot,,
dog,leash,cat,dog1,,
dog,bone,cat,dog2,,
chain,lock,rope,chain,,
chair,desk,stool,chair,,
chalk,blackboard,marker,chalk,,
chimney,fire,wall,chimney,,
coat,umbrella,sweatshirt,coat,,
dress,hanger,pants,dress,,
jacket,winter,sweater,jacket,,
coconut,tree,mango,coconut,,
onion,farmer,tomato,onion1,,
farmer,tractor,butcher,farmer,,
goat,field,deer,goat,,
cow,grass,chicken,cow2,,
squirrel,acorn,mouse,squirrel,,
cow,milk,pig,cow1,,
sheep,wool,goat,sheep,,
grass,horse,leaf,grass,,
crayon,drawing,paintbrush,crayon,,
crown,queen,hat,crown,,
cup,coffee,saucer,cup,,
teacher,desk,policeman,teacher,,
door,key,window,door,,
house,garden,hut,house,,
piano,song,flute,piano,,
trumpet,orchestra,violin,trumpet,,
frog,pond,turtle,frog,,
lilypad,pond,rose,lilypad,,
dust,broom,ash,dust,,
elephant,zoo,giraffe,elephant,,
ring,hand,necklace,ring,,
hand,bracelet,foot,hand,,
pencil,eraser,pen,pencil,,
pen,paper,pencil,pen,,
net,fish,rope,net,,
lake,fish,stream,lake,,
ocean,boat,stream,ocean2,,
flower,vase,bush,flower,,
can,straw,bottle,can,,
hammer,nail,saw,hammer,,
hat,head,crown,hat,,
helmet,motorcycle,cap,helmet,,
soccer,goal,tennis,soccer,,
horse,saddle,donkey,horse,,
school,student,church,school,,
snow,mountain,ice,snow,,
kitchen,refrigerator,bedroom,kitchen,,
knight,armor,soldier,knight,,
lamp,desk,flashlight,lamp,,
gloves,ski,shorts,gloves,,
mountain,ice,cliff,mountain,,
mouth,toothbrush,nose,mouth,,
movie,director,cartoon,movie,,
notepad,backpack,book,notepad,,
ocean,whale,river,ocean1,,
onion,frying pan,peppers,onion2,,
oyster,pearl,clam,oyster,,
watering can,flowers,bucket,watering can,,
pastry,baker,cake,pastry,,
penguin,snow,goose,penguin,,
policeman,jail,teacher,policeman,,
mailman,package,firefighter,mailman,,
pot,ladle,pan,pot1,,
pot,stove,pan,pot2,,
saw,plank,hammer,saw,,
sink,soap,bathtub,sink,,
spider,web,grasshopper,spider,,
spoon,bowl,ladle,spoon1,,
sword,pirate,dagger,sword,,
tent,campfire,cabin,tent,,
towel,shower,handkerchief,towel,,
train,tracks,bus,train,,
university,professor,school,university,,
doctor,hospital,engineer,doctor,,
peach,pit,plum,peach,,
