cue,top_opt,bottom_opt,Cue_renamed
茶杯,玻璃杯,水壶,teacup
飞机,轮船,飞行员,airplane1
水手,飞行员,轮船,sailor
飞机,直升机,天空,airplane2
海鸥,蝙蝠,天空,seagull
苹果,草莓,树,apple1
苹果,橙子,篮子,apple2
斧子,剪刀,树桩,axe
宝宝,成人,奶瓶,baby
猴,驴,丛林,monkey
床,长沙发,枕头,bed
婴儿床,床,宝宝,crib
蜜蜂,瓢虫,花园,bee1
蜜蜂,蝴蝶,蜂蜜,bee2
啤酒,果汁,派对,beer
鸡,天鹅,蛋,chicken
鸽子,鸭,鸟巢,pigeon
蛋糕,曲奇,生日,cake
球,骰子,儿童,ball
靴子,拖鞋,脚,boot
腿,手臂,裤子,legs
碗,盘子,汤,bowl
面包,米饭,烤箱,bread
勺,叉子,汤,spoon2
头发,胡子,梳子,hair
子弹,箭,手枪,bullet
仙人掌,灌木,沙子,cactus
汽车,自行车,轮胎,car2
汽车,摩托车,红绿灯,car1
胡萝卜,豌豆,兔子,carrot
狗,猫,狗链,dog1
狗,猫,骨头,dog2
链条,绳子,锁,chain
椅,凳,桌,chair
粉笔,马克笔,黑板,chalk
烟囱,墙,火,chimney
大衣,运动衫,伞,coat
连衣裙,裤子,衣架,dress
夹克,毛衣,冬天,jacket
椰子,芒果,树,coconut
洋葱,番茄,农民,onion1
农民,屠夫,拖拉机,farmer
山羊,鹿,草地,goat
牛,鸡,草,cow2
松鼠,老鼠,橡实,squirrel
牛,猪,牛奶,cow1
绵羊,山羊,羊毛,sheep
草,叶子,马,grass
蜡笔,油漆刷,图画,crayon
皇冠,帽子,女王,crown
杯子,茶碟,咖啡,cup
老师,警察,桌子,teacher
门,窗户,钥匙,door
房子,小屋,花园,house
钢琴,长笛,歌,piano
小号,小提琴,管弦乐队,trumpet
青蛙,乌龟,池塘,frog
睡莲,玫瑰花,池塘,lilypad
灰尘,灰烬,扫帚,dust
大象,长颈鹿,动物园,elephant
戒指,项链,手,ring
手,脚,手镯,hand
铅笔,钢笔,橡皮,pencil
钢笔,铅笔,纸,pen
网,绳子,鱼,net
湖,溪流,鱼,lake
海洋,溪流,船,ocean2
花朵,灌木,花瓶,flower
罐,瓶,吸管,can
锤子,锯子,钉子,hammer
帽子,皇冠,头,hat
头盔,便帽,摩托车,helmet
足球,网球,球门,soccer
马,驴,鞍,horse
学校,教堂,学生,school
雪,冰,山峰,snow
厨房,卧室,冰箱,kitchen
骑士,士兵,盔甲,knight
灯,手电筒,桌子,lamp
手套,短裤,滑雪,gloves
山峰,悬崖,雪,mountain
嘴,鼻,牙刷,mouth
电影,卡通片,导演,movie
笔记本,书本,双肩包,notepad
海洋,河流,鲸,ocean1
洋葱,胡椒,炒锅,onion2
蚌,蛤蜊,珍珠,oyster
洒水壶,桶,花朵,watering can
蝴蝶酥,蛋糕,烘焙师,pastry
企鹅,鹅,雪,penguin
警察,老师,监狱,policeman
快递员,消防员,包裹,mailman
汤锅,平底锅,长柄勺,pot1
汤锅,平底锅,炉灶,pot2
锯子,锤子,木板,saw
洗脸盆,浴缸,肥皂,sink
蜘蛛,蚱蜢,网,spider
勺,长柄勺,碗,spoon1
弯刀,匕首,海盗,sword
帐篷,小木屋,篝火,tent
毛巾,手帕,浴室,towel
火车,公交车,轨道,train
大学,学校,教授,university
医生,工程师,医院,doctor
桃,李子,果核,peach
茶杯,水壶,玻璃杯,teacup
飞机,飞行员,轮船,airplane1
水手,轮船,飞行员,sailor
飞机,天空,直升机,airplane2
海鸥,天空,蝙蝠,seagull
苹果,树,草莓,apple1
苹果,篮子,橙子,apple2
斧子,树桩,剪刀,axe
宝宝,奶瓶,成人,baby
猴,丛林,驴,monkey
床,枕头,长沙发,bed
婴儿床,宝宝,床,crib
蜜蜂,花园,瓢虫,bee1
蜜蜂,蜂蜜,蝴蝶,bee2
啤酒,派对,果汁,beer
鸡,蛋,天鹅,chicken
鸽子,鸟巢,鸭,pigeon
蛋糕,生日,曲奇,cake
球,儿童,骰子,ball
靴子,脚,拖鞋,boot
腿,裤子,手臂,legs
碗,汤,盘子,bowl
面包,烤箱,米饭,bread
勺,汤,叉子,spoon2
头发,梳子,胡子,hair
子弹,手枪,箭,bullet
仙人掌,沙子,灌木,cactus
汽车,轮胎,自行车,car2
汽车,红绿灯,摩托车,car1
胡萝卜,兔子,豌豆,carrot
狗,狗链,猫,dog1
狗,骨头,猫,dog2
链条,锁,绳子,chain
椅,桌,凳,chair
粉笔,黑板,马克笔,chalk
烟囱,火,墙,chimney
大衣,伞,运动衫,coat
连衣裙,衣架,裤子,dress
夹克,冬天,毛衣,jacket
椰子,树,芒果,coconut
洋葱,农民,番茄,onion1
农民,拖拉机,屠夫,farmer
山羊,草地,鹿,goat
牛,草,鸡,cow2
松鼠,橡实,老鼠,squirrel
牛,牛奶,猪,cow1
绵羊,羊毛,山羊,sheep
草,马,叶子,grass
蜡笔,图画,油漆刷,crayon
皇冠,女王,帽子,crown
杯子,咖啡,茶碟,cup
老师,桌子,警察,teacher
门,钥匙,窗户,door
房子,花园,小屋,house
钢琴,歌,长笛,piano
小号,管弦乐队,小提琴,trumpet
青蛙,池塘,乌龟,frog
睡莲,池塘,玫瑰花,lilypad
灰尘,扫帚,灰烬,dust
大象,动物园,长颈鹿,elephant
戒指,手,项链,ring
手,手镯,脚,hand
铅笔,橡皮,钢笔,pencil
钢笔,纸,铅笔,pen
网,鱼,绳子,net
湖,鱼,溪流,lake
海洋,船,溪流,ocean2
花朵,花瓶,灌木,flower
罐,吸管,瓶,can
锤子,钉子,锯子,hammer
帽子,头,皇冠,hat
头盔,摩托车,便帽,helmet
足球,球门,网球,soccer
马,鞍,驴,horse
学校,学生,教堂,school
雪,山峰,冰,snow
厨房,冰箱,卧室,kitchen
骑士,盔甲,士兵,knight
灯,桌子,手电筒,lamp
手套,滑雪,短裤,gloves
山峰,雪,悬崖,mountain
嘴,牙刷,鼻,mouth
电影,导演,卡通片,movie
笔记本,双肩包,书本,notepad
海洋,鲸,河流,ocean1
洋葱,炒锅,胡椒,onion2
蚌,珍珠,蛤蜊,oyster
洒水壶,花朵,桶,watering can
蝴蝶酥,烘焙师,蛋糕,pastry
企鹅,雪,鹅,penguin
警察,监狱,老师,policeman
快递员,包裹,消防员,mailman
汤锅,长柄勺,平底锅,pot1
汤锅,炉灶,平底锅,pot2
锯子,木板,锤子,saw
洗脸盆,肥皂,浴缸,sink
蜘蛛,网,蚱蜢,spider
勺,碗,长柄勺,spoon1
弯刀,海盗,匕首,sword
帐篷,篝火,小木屋,tent
毛巾,浴室,手帕,towel
火车,轨道,公交车,train
大学,教授,学校,university
医生,医院,工程师,doctor
桃,果核,李子,peach
