cue,top_opt,bottom_opt,Cue_renamed,,
cốc trà,ly,ấm đun nước,teacup,,
máy bay,tàu thuỷ,phi công,airplane1,,
thuỷ thủ,phi công,tàu thuỷ,sailor,,
máy bay,trực thăng,trời,airplane2,,
hải âu,dơi,trời,seagull,,
táo,dâu,cây,apple1,,
táo,cam,giỏ,apple2,,
rìu,kéo,gốc cây,axe,,
em bé,người lớn,bình,baby,,
khỉ,lừa,rừng,monkey,,
giường,ghế bành,gối,bed,, 
nôi,giường,em bé,crib,,
ong,bọ rùa,vườn,bee1,,
ong,bướm,mật,bee2,,
bia,nước ép,tiệc,beer,,
gà,thiên nga,trứng,chicken,,
bồ câu,vịt,tổ,pigeon,,
bánh kem,bánh quy,sinh nhật,cake,,
bóng,xúc xắc,đứa trẻ,ball,,
ủng,dép,bàn chân,boot,,
chân,tay,quần,legs,,
chén,đĩa,súp,bowl,,
bánh mì,cơm,lò nướng,bread,,
muỗng,nĩa,đường,spoon2,,
tóc,râu,lược,hair,,
đạn,mũi tên,súng,bullet,,
xương rồng,bụi rậm,cát,cactus,,
xe hơi,xe đạp,lốp,car2,,
xe hơi,xe máy,đèn giao thông,car1,,
cà rốt,đậu,thỏ,carrot,,
chó,mèo,dây xích,dog1,,
chó,mèo,xương,dog2,,
xích,dây thừng,khoá,chain,,
ghế,ghế đẩu,bàn,chair,,
phấn,bút lông,bảng đen,chalk,,
ống khói,tường,lửa,chimney,,
áo khoác,áo len,dù,coat,,
đầm,quần,móc quần áo,dress,,
áo khoác,áo len,mùa đông,jacket,,
dừa,xoài,cây,coconut,,
hành,cà chua,nông dân,onion1,,
nông dân,người bán thịt,máy kéo,farmer,,
dê,nai,đồng cỏ,goat,,
bò,gà,cỏ,cow2,,
sóc,chuột,hạt dẻ,squirrel,,
bò,lợn,sữa,cow1,,
cừu,dê,len,sheep,,
cỏ,lá,ngựa,grass,,
bút sáp,cọ,tranh vẽ,crayon,,
vương miện,mũ,hoàng hậu,crown,,
cốc,đĩa lót tách,cà phê,cup,,
giáo viên,cảnh sát,bàn,teacher,,
cửa ra vào,cửa sổ,chìa khoá,door,,
nhà,chòi,vườn,house,,
đàn pi-a-nô,sáo,bài hát,piano,,
kèn,đàn vi-ô-lông,dàn nhạc,trumpet,,
ếch,rùa,ao,frog,,
bèo,hoa hồng,ao,lilypad,,
bụi,tro,chổi,dust,,
voi,hươu cao cổ,vườn thú,elephant,,
nhẫn,dây chuyền,tay,ring,,
bàn tay,bàn chân,vòng tay,hand,,
bút chì,bút bi,cục tẩy,pencil,,
bút chì,bút bi,giấy,pen,,
lưới,dây thừng,cá,net,,
hồ,suối,cá,lake,,
biển,suối,thuyền,ocean2,,
hoa,bụi rậm,lọ,flower,,
lon,chai,ống hút,can,,
búa,cưa,đinh,hammer,,
mũ,vương miện,đầu,hat,,
mũ bảo hiểm,nón,xe máy,helmet,,
bóng đá,quần vợt,khung thành,soccer,,
ngựa,lừa,yên ngựa,horse,,
trường,nhà thờ,học sinh,school,,
tuyết,băng,núi,snow,,
nhà bếp,phòng ngủ,tủ lạnh,kitchen,,
hiệp sĩ,người lính,áo giáp,knight,,
đèn,đèn pin,bàn,lamp,,
găng tay,quần đùi,ván trượt tuyết,gloves,,
núi,vách đá,băng,mountain,,
miệng,mũi,bàn chải đánh răng,mouth,,
phim,hoạt hình,đạo diễn,movie,,
tập,sách,cặp,notepad,,
biển,sông,cá voi,ocean1,,
hành,ớt,chảo,onion2,,
con trai,con sò,ngọc trai,oyster,,
bình tưới,xô,hoa,watering can,,
bánh ngọt,bánh kem,thợ làm bánh,pastry,,
chim cánh cụt,ngỗng,tuyết,penguin,,
cảnh sát,giáo viên,nhà tù,policeman,,
người đưa thư,lính cứu hoả,bưu kiện,mailman,,
nồi,chảo,muôi,pot1,,
nồi,chảo,bếp,pot2,,
cưa,búa ,tấm ván,saw,,
chậu rửa tay,bồn tắm,xà phòng,sink,,
nhện,châu chấu,mạng nhện,spider,,
muỗng,muôi,chén,spoon1,,
kiếm,dao găm,cướp biển,sword,,
lều trại,chòi,lửa trại,tent,,
khăn tắm,khăn tay,phòng tắm,towel,,
tàu hoả,xe buýt,đường ray,train,,
đại học,nhà trường,giáo sư,university,,
bác sĩ,kỹ sư,bệnh viện,doctor,,
đào,mận,hạt,peach,,
cốc trà,ấm đun nước,ly,teacup,,
máy bay,phi công,tàu thuỷ,airplane1,,
thuỷ thủ,tàu thuỷ,phi công,sailor,,
máy bay,trời,trực thăng,airplane2,,
hải âu,trời,dơi,seagull,,
táo,cây,dâu,apple1,,
táo,giỏ,cam,apple2,,
rìu,gốc cây,kéo,axe,,
em bé,bình,người lớn,baby,,
khỉ,rừng,lừa,monkey,,
giường,gối,ghế bành,bed,,
nôi,em bé,giường,crib,,
ong,vườn,bọ rùa,bee1,,
ong,mật,bướm,bee2,,
bia,tiệc,nước ép,beer,,
gà,trứng,thiên nga,chicken,,
bồ câu,tổ,vịt,pigeon,,
bánh kem,sinh nhật,bánh quy,cake,,
bóng,đứa trẻ,xúc xắc,ball,,
ủng,bàn chân,dép,boot,,
chân,quần,tay,legs,,
chén,súp,đĩa,bowl,,
bánh mì,lò nướng,cơm,bread,,
muỗng,đường,nĩa,spoon2,,
tóc,lược,râu,hair,,
đạn,súng,mũi tên,bullet,,
xương rồng,cát,bụi rậm,cactus,,
xe hơi,lốp,xe đạp,car2,,
xe hơi,đèn giao thông,xe máy,car1,,
cà rốt,thỏ,đậu,carrot,,
chó,dây xích,mèo,dog1,,
chó,xương,mèo,dog2,,
xích,khoá,dây thừng,chain,,
ghế,bàn,ghế đẩu,chair,,
phấn,bảng đen,bút lông,chalk,,
ống khói,lửa,tường,chimney,,
áo khoác,dù,áo len,coat,,
đầm,móc quần áo,quần,dress,,
áo khoác,mùa đông,áo len,jacket,,
dừa,cây,xoài,coconut,,
hành,nông dân,cà chua,onion1,,
nông dân,máy kéo,người bán thịt,farmer,,
dê,đồng cỏ,nai,goat,,
bò,cỏ,gà,cow2,,
sóc,hạt dẻ,chuột,squirrel,,
bò,sữa,lợn,cow1,,
cừu,len,dê,sheep,,
cỏ,ngựa,lá,grass,,
bút sáp,tranh vẽ,cọ,crayon,,
vương miện,hoàng hậu,mũ,crown,,
cốc,cà phê,đĩa lót tách,cup,,
giáo viên,bàn,cảnh sát,teacher,,
cửa ra vào,chìa khoá,cửa sổ,door,,
nhà,vườn,chòi,house,,
đàn pi-a-nô,bài hát,sáo,piano,,
kèn,dàn nhạc,đàn vi-ô-lông,trumpet,,
ếch,ao,rùa,frog,,
bèo,ao,hoa hồng,lilypad,,
bụi,chổi,tro,dust,,
voi,vườn thú,hươu cao cổ,elephant,,
nhẫn,tay,dây chuyền,ring,,
bàn tay,vòng tay,bàn chân,hand,,
bút chì,cục tẩy,bút bi,pencil,,
bút chì,giấy,bút bi,pen,,
lưới,cá,dây thừng,net,,
hồ,cá,suối,lake,,
biển,thuyền,suối,ocean2,,
hoa,lọ,bụi rậm,flower,,
lon,ống hút,chai,can,,
búa,đinh,cưa,hammer,,
mũ,đầu,vương miện,hat,,
mũ bảo hiểm,xe máy,nón,helmet,,
bóng đá,khung thành,quần vợt,soccer,,
ngựa,yên ngựa,lừa,horse,,
trường,học sinh,nhà thờ,school,,
tuyết,núi,băng,snow,,
nhà bếp,tủ lạnh,phòng ngủ,kitchen,,
hiệp sĩ,áo giáp,người lính,knight,,
đèn,bàn,đèn pin,lamp,,
găng tay,ván trượt tuyết,quần đùi,gloves,,
núi,băng,vách đá,mountain,,
miệng,bàn chải đánh răng,mũi,mouth,,
phim,đạo diễn,hoạt hình,movie,,
tập,cặp,sách,notepad,,
biển,cá voi,sông,ocean1,,
hành,chảo,ớt,onion2,,
con trai,ngọc trai,con sò,oyster,,
bình tưới,hoa,xô,watering can,,
bánh ngọt,thợ làm bánh,bánh kem,pastry,,
chim cánh cụt,tuyết,ngỗng,penguin,,
cảnh sát,nhà tù,giáo viên,policeman,,
người đưa thư,bưu kiện,lính cứu hoả,mailman,,
nồi,muôi,chảo,pot1,,
nồi,bếp,chảo,pot2,,
cưa,tấm ván,búa,saw,,
chậu rửa tay,xà phòng,bồn tắm,sink,,
nhện,mạng nhện,châu chấu,spider,,
muỗng,chén,muôi,spoon1,,
kiếm,cướp biển,dao găm,sword,,
lều trại,lửa trại,chòi,tent,,
khăn tắm,phòng tắm,khăn tay,towel,,
tàu hoả,đường ray,xe buýt,train,,
đại học,giáo sư,nhà trường,university,,
bác sĩ,bệnh viện,kỹ sư,doctor,,
đào,hạt,mận,peach,,
