"","subject","demog_question","demog_response","country"
"1","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","country_born","Yes","US"
"2","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","current_in","Yes","US"
"3","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","state_grewup","Arizona","US"
"4","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","abroadexp","Yes","US"
"5","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","overseaexpnum","Three to five experiences","US"
"6","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","oversea_exp_regions","North America","US"
"7","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","firstlanguage","Yes","US"
"8","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","monolingual","Yes, I am multilingual","US"
"9","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","chineselanguage","No","US"
"10","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","vietnameselanguage","Yes","US"
"11","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","lang_sp_vi","2","US"
"12","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","lang_ud_vi","3","US"
"13","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","objectiveses","High school graduate/GED","US"
"14","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","subjectiveses","4","US"
"15","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","age","19","US"
"16","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","gender","Male","US"
"17","008167073e8a463118e593eabc38e1ff83bf550696a873544d8b56a3749a0f92","ethnic","Asian","US"
"18","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","country_born","Yes","US"
"19","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","current_in","Yes","US"
"20","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","state_grewup","Florida","US"
"21","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","abroadexp","Yes","US"
"22","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","overseaexpnum","No experiences","US"
"23","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","oversea_exp_regions","North America","US"
"24","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","firstlanguage","No","US"
"25","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","monolingual","Yes, I am multilingual","US"
"26","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","chineselanguage","No","US"
"27","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","vietnameselanguage","No","US"
"28","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","objectiveses","High school graduate/GED","US"
"29","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","subjectiveses","5","US"
"30","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","age","19","US"
"31","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","gender","Female","US"
"32","014312cf53058cda5b5dda2de67974aedf0a59502669221b623e2c4e3fe3cfdf","ethnic","Hispanic or Latino","US"
"33","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","country_born","Yes","US"
"34","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","current_in","Yes","US"
"35","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","state_grewup","Georgia","US"
"36","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","abroadexp","No","US"
"37","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","overseaexpnum","Three to five experiences","US"
"38","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","oversea_exp_regions",NA,"US"
"39","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","firstlanguage","Yes","US"
"40","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","monolingual","No, just English","US"
