"","x"
"1","lilypad"
"2","teacup"
"3","sailor"
"4","seagull"
"5","axe"
"6","bee1"
"7","pigeon"
"8","ball"
"9","boot"
"10","cactus"
"11","chain"
"12","chimney"
"13","farmer"
"14","goat"
"15","crayon"
"16","crown"
"17","piano"
"18","elephant"
"19","pencil"
"20","helmet"
"21","horse"
"22","knight"
"23","gloves"
"24","oyster"
"25","watering can"
"26","pastry"
"27","penguin"
"28","mailman"
"29","sink"
"30","sword"
"31","tent"
"32","towel"
"33","train"
"34","axe"
"35","crib"
"36","cactus"
"37","dress"
"38","watering can"
"39","pastry"
"40","mailman"
